Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
p75_ambivalent_final,combined_questionnaire_final,,radio,75. ambivalent,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p76_parathymie_final,combined_questionnaire_final,,radio,76. Parathymie,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p77_affektlabil_final,combined_questionnaire_final,,radio,77. affektlabil,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p78_affektinkontinent_final,combined_questionnaire_final,,radio,78. affektinkontinent,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
p79_affektstarr_final,combined_questionnaire_final,,radio,79. affektstarr,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_affekt_9] = 1,,,,mg_862092_final,,
on_off_antrieb_10,combined_questionnaire_final,Antriebs- und psychomotorische Störungen,radio,Antriebs- und psychomotorische Störungen,"1, ausklappen",,,,,,,,,,,,
p80_antriebsarm_final,combined_questionnaire_final,,radio,80. antriebsarm,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p81_antriebsgehemmt_final,combined_questionnaire_final,,radio,81. antriebsgehemmt,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p82_antriebsgesteigert_final,combined_questionnaire_final,,radio,82. antriebsgesteigert,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p83_motorisch_unruhig_final,combined_questionnaire_final,,radio,83. motorisch unruhig,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p84_parakinesen_final,combined_questionnaire_final,,radio,84. Parakinesen,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p85_maniriert_bizarr_final,combined_questionnaire_final,,radio,85. maniriert/bizarr,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p86_theatralisch_final,combined_questionnaire_final,,radio,86. theatralisch,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p87_mutistisch_final,combined_questionnaire_final,,radio,87. mutistisch,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
p88_logorrhoisch_final,combined_questionnaire_final,,radio,88. logorrhoisch,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_antrieb_10] = 1,,,,mg_1ab2c1_final,,
on_off_circ_11,combined_questionnaire_final,Circadiane Besonderheiten,radio,Circadiane Besonderheiten,"1, ausklappen",,,,,,,,,,,,
p89_morgens_schlechter_final,combined_questionnaire_final,,radio,89. morgens schlechter,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_circ_11] = 1,,,,mg_8161aa_final,,
p90_abends_schlechter_final,combined_questionnaire_final,,radio,90. abends schlechter,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_circ_11] = 1,,,,mg_8161aa_final,,
p91_abends_besser_final,combined_questionnaire_final,,radio,91. abends besser,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_circ_11] = 1,,,,mg_8161aa_final,,
on_off_andere_12,combined_questionnaire_final,Andere Störungen,radio,Andere Störungen,"1, ausklappen",,,,,,,,,,,,
p92_sozialer_rückzug_final,combined_questionnaire_final,,radio,92. sozialer Rückzug,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p93_soziale_umtriebigkeit_final,combined_questionnaire_final,,radio,93. soziale Umtriebigkeit,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p94_aggressivität_final,combined_questionnaire_final,,radio,94. Aggressivität,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p95_suizidalität_final,combined_questionnaire_final,,radio,95. Suizidalität,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p96_selbstbeschädigung_final,combined_questionnaire_final,,radio,96. Selbstbeschädigung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p97_mangel_an_krankheitsgefühl_final,combined_questionnaire_final,,radio,97. Mangel an Krankheitsgefühl,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p98_mangel_an_krankheitseinsicht_final,combined_questionnaire_final,,radio,98. Mangel an Krankheitseinsicht,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p99_ablehnung_der_behandlung_final,combined_questionnaire_final,,radio,99. Ablehnung der Behandlung,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
p100_pflegebedürftig_final,combined_questionnaire_final,,radio,100. pflegebedürftig,"0, nicht vorhanden | 1, leicht | 2, mittelgradig | 3, schwer | -99, keine Aussage",,,,,,[on_off_andere_12] = 1,,,,mg_6b2a58_final,,
amdp_nutzung,combined_questionnaire_final,Kontrolle,radio,In welchem Umfang haben Sie das AMDP-Manual zur Unterstützung der Auswertung herangezogen?,"0, bei 0 Items | 1, bei 1-5 Items | 2, bei 6-10 Items | 3, bei 11-15 Items | 4, bei mehr als 15 Items",,,,,,,,,,,,
kontrolle_final,combined_questionnaire_final,,radio,"Haben Sie alle PPB-Felder ausgefüllt? Beachten Sie den Hinweis und antworten Sie bitte entsprechend. 
Diese Antwort dient als Qualitätskriterium für die Auswertung.","1, Ja | 0, Nein",,,,,,,y,,,,,
kontroll_text_final,combined_questionnaire_final,,descriptive,"Sie haben NICHT alle Felder ausgefüllt. Bitte überprüfen! Nicht ausgefüllte Psychopathologien gelten automatisch als ""Keine Aussage"". Fahren Sie nur fort, wenn das Ihrer Intention entspricht!",,,,,,,"[p1_bewusstseinsverminderung_final] = """" or
[p2_bewusstseinstruebung_final] = """" or
[p3_bewusstseinseinengung_final] = """" or
[p4_bewusstseinsverschiebung_final] = """" or
[p5_zeitliche_orientierungsstoerung_final] = """" or
[p6_oertliche_orientierungsstoerung_final] = """" or
[p7_situative_orientierungsstoerung_final] = """" or
[p8_orientierungsstoerung_eigene_person_final] = """" or
[p9_auffassungsstoerungen_final] = """" or
[p10_konzentrationsstoerungen_final] = """" or
[p11_merkfaehigkeitsstoerungen_final] = """" or
[p12_gedaechtnisstoerungen_final] = """" or
[p13_konfabulationen_final] = """" or
[p14_paramnesien_final] = """" or
[p15_gehemmt_final] = """" or
[p16_verlangsamt_final] = """" or
[p17_umstaendlich_final] = """" or
[p18_eingeengt_final] = """" or
[p19_perseverierend_final] = """" or
[p20_grueblen_final] = """" or
[p21_gedankendraengen_final] = """" or
[p22_ideenfluechtig_final] = """" or
[p23_vorbeireden_final] = """" or
[p24_gesperrt_gedankenabreissen_final] = """" or
[p25_inkohaerent_zerfahren_final] = """" or
[p26_neologismen_final] = """" or
[p27_misstrauen_final] = """" or
[p28_hypochondrie_final] = """" or
[p29_phobien_final] = """" or
[p30_zwangsdenken_final] = """" or
[p31_zwangsimpulse_final] = """" or
[p32_zwangshandlungen_final] = """" or
[p33_wahnstimmung_final] = """" or
[p34_wahnwahrnehmung_final] = """" or
[p35_wahneinfall_final] = """" or
[p36_wahngedanken_final] = """" or
[p37_systematisierter_wahn_final] = """" or
[p38_wahndynamik_final] = """" or
[p39_beziehungswahn_final] = """" or
[p40_beeintraechtigungs_verfolgungswahn_final] = """" or
[p41_eifersuchtswahn_final] = """" or
[p42_schuldwahn_final] = """" or
[p43_verarmungswahn_final] = """" or
[p44_hypochondrischer_wahn_final] = """" or
[p45_groessenwahn_final] = """" or
[p46_andere_wahninhalte_final] = """" or
[p47_illusionen_final] = """" or
[p48_stimmenhoeren_final] = """" or
[p49_andere_akustische_halluzinationen_final] = """" or
[p50_optische_halluzinationen_final] = """" or
[p51_koerperhalluzinationen_final] = """" or
[p52_geruchs_geschmackshalluzinationen_final] = """" or
[p53_derealisation_final] = """" or
[p54_depersonalisation_final] = """" or
[p55_gedankenausbreitung_final] = """" or
[p56_gedankenentzug_final] = """" or
[p57_gedankeneingebung_final] = """" or
[p58_andere_fremdbeeinflussungserlebnisse_final] = """" or
[p59_ratlos_final] = """" or
[p60_gefuehl_der_gefuehllosigkeit_final] = """" or
[p61_affektarm_final] = """" or
[p62_stoerung_der_vitalgefuehle_final] = """" or
[p63_deprimiert_final] = """" or
[p64_hoffnungslos_final] = """" or
[p65_aengstlich_final] = """" or
[p66_euphorisch_final] = """" or
[p67_dysphorisch_final] = """" or
[p68_gereizt_final] = """" or
[p69_innerlich_unruhig_final] = """" or
[p70_klagsam_jammerig_final] = """" or
[p71_insuffizienzgefuehle_final] = """" or
[p72_gesteigertes_selbstwertgefuehl_final] = """" or
[p73_schuldgefuehle_final] = """" or
[p74_verarmungsgefuehle_final] = """" or
[p75_ambivalent_final] = """" or
[p76_parathymie_final] = """" or
[p77_affektlabil_final] = """" or
[p78_affektinkontinent_final] = """" or
[p79_affektstarr_final] = """" or
[p80_antriebsarm_final] = """" or
[p81_antriebsgehemmt_final] = """" or
[p82_antriebsgesteigert_final] = """" or
[p83_motorisch_unruhig_final] = """" or
[p84_parakinesen_final] = """" or
[p85_maniriert_bizarr_final] = """" or
[p86_theatralisch_final] = """" or
[p87_mutistisch_final] = """" or
[p88_logorrhoisch_final] = """" or
[p89_morgens_schlechter_final] = """" or
[p90_abends_schlechter_final] = """" or
[p91_abends_besser_final] = """" or
[p92_sozialer_rueckzug_final] = """" or
[p93_soziale_umtriebigkeit_final] = """" or
[p94_aggressivitaet_final] = """" or
[p95_suizidalitaet_final] = """" or
[p96_selbstbeschaedigung_final] = """" or
[p97_mangel_an_krankheitsgefuehl_final] = """" or
[p98_mangel_an_krankheitseinsicht_final] = """" or
[p99_ablehnung_der_behandlung_final] = """" or
[p100_pflegebeduerftig_final] = """"",,,,,,
kontroll_text_2_final,combined_questionnaire_final,,descriptive,Sie haben ALLE Felder ausgefüllt! Bitte antworten Sie oben entsprechend. Diese Frage wird als Qualitätskriterium herangezogen.,,,,,,,"[p1_bewusstseinsverminderung_final] <> """" and
[p2_bewusstseinstruebung_final] <> """" and
[p3_bewusstseinseinengung_final] <> """" and
[p4_bewusstseinsverschiebung_final] <> """" and
[p5_zeitliche_orientierungsstoerung_final] <> """" and
[p6_oertliche_orientierungsstoerung_final] <> """" and
[p7_situative_orientierungsstoerung_final] <> """" and
[p8_orientierungsstoerung_eigene_person_final] <> """" and
[p9_auffassungsstoerungen_final] <> """" and
[p10_konzentrationsstoerungen_final] <> """" and
[p11_merkfaehigkeitsstoerungen_final] <> """" and
[p12_gedaechtnisstoerungen_final] <> """" and
[p13_konfabulationen_final] <> """" and
[p14_paramnesien_final] <> """" and
[p15_gehemmt_final] <> """" and
[p16_verlangsamt_final] <> """" and
[p17_umstaendlich_final] <> """" and
[p18_eingeengt_final] <> """" and
[p19_perseverierend_final] <> """" and
[p20_grueblen_final] <> """" and
[p21_gedankendraengen_final] <> """" and
[p22_ideenfluechtig_final] <> """" and
[p23_vorbeireden_final] <> """" and
[p24_gesperrt_gedankenabreissen_final] <> """" and
[p25_inkohaerent_zerfahren_final] <> """" and
[p26_neologismen_final] <> """" and
[p27_misstrauen_final] <> """" and
[p28_hypochondrie_final] <> """" and
[p29_phobien_final] <> """" and
[p30_zwangsdenken_final] <> """" and
[p31_zwangsimpulse_final] <> """" and
[p32_zwangshandlungen_final] <> """" and
[p33_wahnstimmung_final] <> """" and
[p34_wahnwahrnehmung_final] <> """" and
[p35_wahneinfall_final] <> """" and
[p36_wahngedanken_final] <> """" and
[p37_systematisierter_wahn_final] <> """" and
[p38_wahndynamik_final] <> """" and
[p39_beziehungswahn_final] <> """" and
[p40_beeintraechtigungs_verfolgungswahn_final] <> """" and
[p41_eifersuchtswahn_final] <> """" and
[p42_schuldwahn_final] <> """" and
[p43_verarmungswahn_final] <> """" and
[p44_hypochondrischer_wahn_final] <> """" and
[p45_groessenwahn_final] <> """" and
[p46_andere_wahninhalte_final] <> """" and
[p47_illusionen_final] <> """" and
[p48_stimmenhoeren_final] <> """" and
[p49_andere_akustische_halluzinationen_final] <> """" and
[p50_optische_halluzinationen_final] <> """" and
[p51_koerperhalluzinationen_final] <> """" and
[p52_geruchs_geschmackshalluzinationen_final] <> """" and
[p53_derealisation_final] <> """" and
[p54_depersonalisation_final] <> """" and
[p55_gedankenausbreitung_final] <> """" and
[p56_gedankenentzug_final] <> """" and
[p57_gedankeneingebung_final] <> """" and
[p58_andere_fremdbeeinflussungserlebnisse_final] <> """" and
[p59_ratlos_final] <> """" and
[p60_gefuehl_der_gefuehllosigkeit_final] <> """" and
[p61_affektarm_final] <> """" and
[p62_stoerung_der_vitalgefuehle_final] <> """" and
[p63_deprimiert_final] <> """" and
[p64_hoffnungslos_final] <> """" and
[p65_aengstlich_final] <> """" and
[p66_euphorisch_final] <> """" and
[p67_dysphorisch_final] <> """" and
[p68_gereizt_final] <> """" and
[p69_innerlich_unruhig_final] <> """" and
[p70_klagsam_jammerig_final] <> """" and
[p71_insuffizienzgefuehle_final] <> """" and
[p72_gesteigertes_selbstwertgefuehl_final] <> """" and
[p73_schuldgefuehle_final] <> """" and
[p74_verarmungsgefuehle_final] <> """" and
[p75_ambivalent_final] <> """" and
[p76_parathymie_final] <> """" and
[p77_affektlabil_final] <> """" and
[p78_affektinkontinent_final] <> """" and
[p79_affektstarr_final] <> """" and
[p80_antriebsarm_final] <> """" and
[p81_antriebsgehemmt_final] <> """" and
[p82_antriebsgesteigert_final] <> """" and
[p83_motorisch_unruhig_final] <> """" and
[p84_parakinesen_final] <> """" and
[p85_maniriert_bizarr_final] <> """" and
[p86_theatralisch_final] <> """" and
[p87_mutistisch_final] <> """" and
[p88_logorrhoisch_final] <> """" and
[p89_morgens_schlechter_final] <> """" and
[p90_abends_schlechter_final] <> """" and
[p91_abends_besser_final] <> """" and
[p92_sozialer_rueckzug_final] <> """" and
[p93_soziale_umtriebigkeit_final] <> """" and
[p94_aggressivitaet_final] <> """" and
[p95_suizidalitaet_final] <> """" and
[p96_selbstbeschaedigung_final] <> """" and
[p97_mangel_an_krankheitsgefuehl_final] <> """" and
[p98_mangel_an_krankheitseinsicht_final] <> """" and
[p99_ablehnung_der_behandlung_final] <> """" and
[p100_pflegebeduerftig_final] <> """"",,,,,,
realismus_sp,combined_questionnaire,Bewertung der Simulationspatienten:innen (im folgenden SP) auf einer Skala von 1 (sehr schlecht) bis 10 (sehr gut).,radio,"Wie realistisch empfanden Sie den/die SP in Bezug auf Verhalten, Symptome und emotionale Reaktionen?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,y,,,mg_2284d6,,
konsistenz_sp,combined_questionnaire,,radio,Wie bewerten Sie die Konsistenz der Darstellung der SP?,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,,,,mg_2284d6,,
ausdrucksfhigkeit_sp,combined_questionnaire,,radio,Wie bewerten Sie die emotionale Ausdrucksfähigkeit der SP?,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,,,,mg_2284d6,,
reaktionsfähigkeit_sp,combined_questionnaire,,radio,Wie gut konnte der SP auf unerwartete Fragen reagieren?,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,,,,mg_2284d6,,
authentisch_sp,combined_questionnaire,,radio,Wie authentisch wirkte das gezeigte Video aus Ihrer Sicht im Hinblick auf eine reale psychiatrische Interaktion?,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,y,,,mg_2284d6,,
gesamteindruck_sp,combined_questionnaire,,radio,Wie ist ihr Gesamteindruck,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10",,,,,,,y,,,mg_2284d6,,
simulationspatient,combined_questionnaire,,radio,Haben Sie bereits mit Simulationspatient/innen gearbeitet?,"1, Ja | 0, Nein",,,,,,,,,,,,
verbesserungsbedarf_sp,combined_questionnaire,,notes,In welchen Aspekten besteht Verbesserungsbedarf?,,,,,,,,,,,,,
aspekte_besonders_gut,combined_questionnaire,,notes,Welche Aspekte der Darstellung empfanden Sie als besonders gut?,,,,,,,,,,,,,
quality,combined_questionnaire,Video-Qualität,radio,"Wie bewerten Sie die Bild- und Tonqualität der Videos im Hinblick auf Ihre Fähigkeit, die dargestellte Szene angemessen zu beurteilen?","4, Sehr gut - Bild und Ton waren klar und problemlos beurteilbar | 3, Gut - kleinere Einschränkungen, aber gut beurteilbar | 2, Ausreichend - deutliche Einschränkungen, aber noch beurteilbar | 1, Schlecht - Bild oder Ton stark eingeschränkt, Beurteilung nur schwer möglich | 0, Unzureichend - keine sinnvolle Beurteilung möglich | -99, Keine Angabe",,,,,,,,,,,,
